주식명,리밸런싱비율
aerospace,0.03890398494829043
auto,0.019664356165275856
biotech,0.025656145061146933
chemicals,0.031502651263818064
cloud,0.0584910914669087
construction,0.037069431150017214
consumer,0.027159850963693898
cony,0.04831527836422704
cure,0.05614318723126545
ecommerce,0.035594241313880885
energy,0.05347955331544639
finance,0.03847317459279171
food,0.022679973427592273
health,0.01992912502294671
healthtech,0.02947431244990912
magx,0.03508924730941648
media,0.04145616891915159
metals,0.037742928441840885
pharma,0.037843585306859516
realestate,0.022825360232116912
retail,0.0436553194071448
schd,0.03127923061741182
semiconductors,0.012560200104669749
software,0.045987709091474066
tech,0.023088204443515763
telecom,0.029449975698055755
transport,0.031418280729713186
travel,0.03726605704513876
utility,0.027801375916279986
